ID,Level,Category,Has Code Fix,Help Link,Title,Message Format
SS0503,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0503?sort_id=4025305,Deconstruction methods must return void.,
SS0504,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0504?sort_id=4025793,Deconstruction methods must be public.,
SS0505,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0505?sort_id=4025794,All parameters in deconstruction methods should be out parameters.,
SS0506,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0506?sort_id=4056812,"The assignment statement isn't a simple variable one, but an expression".,The expression '{0}' should be a simple variable in deconstruction method assignments.
SS0507,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0507?sort_id=4056821,The parameter should be corresponded to a certain instance field or instance property in this type.,The parameter '{0}' should be corresponded to a certain instance field or instance property in this type.
SS0508,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0508?sort_id=4064196,"The type has already contained a deconstruction method that holds the same number of parameters of this method, so this method won't work".,
SS0601,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0601?sort_id=4049130,Unnecessary explicit type pattern.,
SS0602,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0602?sort_id=4049132,The pattern can be simplify to 'is null'.,
SS0603,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0603?sort_id=4049133,The pattern can be simplify to 'is not null'.,
SS0604,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0604?sort_id=4049877,Unnecessary constant pattern for the variable of the same type.,Unnecessary constant pattern for the variable of the same type; try to use '{0} {1} {2}' instead.
SS0605,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0605?sort_id=4049882,The nullable value type checking expression will be suggested to convert to constant pattern.,The nullable value type checking expression will be suggested to convert to constant pattern: '{0} {1} {2}'.
SS0606,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0606?sort_id=4052320,The expression can be simplifiy via using positional pattern matching.,The expression can be simplifiy to the positional pattern matching: '{0}'.
SS0607,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0607?sort_id=4060446,This discard can be omitted in the current positional pattern.,This discard '{0}: _' can be omitted in the current positional pattern.
SS0608,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0608?sort_id=4066334,The positional pattern may not allow because bounded deconstruction method is a parameterless or single-parameter one.,The positional pattern '{0}' may not allow because bounded deconstruction method is a parameterless or single-parameter one.
SS0609,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0609?sort_id=4067681,The positional subpattern is redundant.,The positional subpattern '{0}' is redundant.
SS0610,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0610?sort_id=4067685,"The positional pattern judges nothing; if you want to judge whether the object is not null, please use empty property pattern '{ }' or 'not null' instead".,"The positional pattern '{0}' judges nothing; if you want to judge whether the object is not null, please use empty property pattern '{1}' or '{2}' instead".
